"LURN_SAK","INCIDENT_DATE","STAT","STAT_DESC","STREET","CITY","ZIP","INCIDENT_ID","REPORTING_DISTRICT","SEQ","UNIT_ID","UNIT_NAME","DELETED"
18580734,"2018-05-16 12:37:51","011","CRIMINAL HOMICIDE: Murder","1700 LAS VIRGENES CANYON RD","CALABASAS","91302","018-02898-1030","1030","02898","CA0190022","MALIBU/LOST HILLS","N"
18587978,"2018-05-23 13:50:00","011","CRIMINAL HOMICIDE: Murder","HILLDALE AVE AND SANTA MONICA BLVD","WEST HOLLYWOOD","90069","018-03339-0977","0977","03339","CA0190009","WEST HOLLYWOOD","N"
18591013,"2018-05-25 20:38:46","011","CRIMINAL HOMICIDE: Murder","11900 HERMOSURA ST","NORWALK",,"018-08095-0458","0458","08095","CA0190004","NORWALK","N"
18593237,"2018-05-28 21:30:00","011","CRIMINAL HOMICIDE: Murder","6200 GOODWAY DR","AZUSA","91702","018-02799-0861","0861","02799","CA0190008","SAN DIMAS","N"
18593183,"2018-05-28 21:55:00","011","CRIMINAL HOMICIDE: Murder","12200 207TH ST","LAKEWOOD","90712","018-11989-1328","1328","11989","CA0190013","LAKEWOOD","N"
18598302,"2018-06-02 13:48:00","011","CRIMINAL HOMICIDE: Murder","1000 S FRASER AVE","LOS ANGELES","90022","018-08283-0284","0284","08283","CA0190002","EAST LOS ANGELES","N"
18599047,"2018-06-03 16:02:00","011","CRIMINAL HOMICIDE: Murder","200 E 233RD ST","CARSON","90745","018-05768-1624","1624","05768","CA0190016","CARSON","N"
18599311,"2018-06-04 01:46:00","011","CRIMINAL HOMICIDE: Murder","1200 PECK RD","S EL MONTE","91733","018-06793-0562","0562","06793","CA0190005","TEMPLE","N"
18603377,"2018-06-07 15:08:00","011","CRIMINAL HOMICIDE: Murder","13200 STUDEBAKER RD","NORWALK",,"018-08717-0453","0453","08717","CA0190004","NORWALK","N"
18605334,"2018-06-09 17:30:00","011","CRIMINAL HOMICIDE: Murder","44800 27TH ST E","LANCASTER",,"018-11452-1135","1135","11452","CA0190024","LANCASTER","N"
18605393,"2018-06-09 18:51:00","011","CRIMINAL HOMICIDE: Murder","1200 E ARTESIA BLVD","COMPTON","90221","018-08068-2845","2845","08068","CA0190042","COMPTON","N"
18606770,"2018-06-10 22:08:00","011","CRIMINAL HOMICIDE: Murder","FULLERTON RD AND 60 FWY","CITY OF INDUSTRY",,"018-07698-1418","1418","07698","CA0190014","INDUSTRY","N"
18607359,"2018-06-12 00:37:00","011","CRIMINAL HOMICIDE: Murder","800 N CHESTER AVE","COMPTON",,"018-08188-2824","2824","08188","CA0190042","COMPTON","N"
18581552,"2018-05-15 17:30:00","021","RAPE, FORCIBLE: Rape by Force, Female 18 YRS +","11300 ATLANTIC AVE","LYNWOOD","90262","018-07230-2114","2114","07230","CA01900V3","CENTURY","N"
18580718,"2018-05-16 12:23:08","025","RAPE BY FORCE, MALE 18 AND OVER","900 W 134TH ST","COMPTON",,"018-06819-2812","2812","06819","CA0190042","COMPTON","N"
18580379,"2018-05-16 12:45:00","021","RAPE, FORCIBLE: Rape by Force, Female 18 YRS +","11400 LONG BEACH BLVD","LYNWOOD","90262","018-07158-2112","2112","07158","CA01900V3","CENTURY","N"
18581995,"2018-05-17 01:40:00","023","RAPE BY FORCE, FEMALE UNDER 18","2100 BROACH AVE","DUARTE","91010","018-05963-0540","0540","05963","CA0190005","TEMPLE","N"
18586889,"2018-05-18 03:00:00","021","RAPE, FORCIBLE: Rape by Force, Female 18 YRS +","4200 DEEBOYAR AVE","LAKEWOOD","90712","018-11537-1323","1323","11537","CA0190013","LAKEWOOD","N"
